window_start,window_end,airline,num_flights,completed,cancelled,diverted,dep_delay_mean,cancellation_rate,late_departure_rate
2025-04-27T10:00:00Z,2025-04-27T11:00:00Z,AA,84,84,0,0,7.19,0.0000,16.6667
2025-04-27T10:00:00Z,2025-04-27T11:00:00Z,DL,70,70,0,0,-0.51,0.0000,4.2857
2025-04-27T10:00:00Z,2025-04-27T11:00:00Z,UA,78,77,0,1,2.88,0.0000,15.3846
2025-04-27T10:00:00Z,2025-04-27T11:00:00Z,WN,146,146,0,0,3.90,0.0000,9.5890
2025-04-27T11:00:00Z,2025-04-27T12:00:00Z,AA,166,166,0,0,7.58,0.0000,15.6627
2025-04-27T11:00:00Z,2025-04-27T12:00:00Z,DL,214,214,0,0,-0.29,0.0000,7.4766
2025-04-27T11:00:00Z,2025-04-27T12:00:00Z,UA,125,125,0,0,4.80,0.0000,11.2000
2025-04-27T11:00:00Z,2025-04-27T12:00:00Z,WN,214,213,1,0,5.35,0.4673,13.6150
2025-04-27T12:00:00Z,2025-04-27T13:00:00Z,AA,150,150,0,0,11.41,0.0000,20.0000
2025-04-27T12:00:00Z,2025-04-27T13:00:00Z,DL,186,186,0,0,0.70,0.0000,8.0645
2025-04-27T12:00:00Z,2025-04-27T13:00:00Z,UA,118,118,0,0,5.36,0.0000,14.4068
2025-04-27T12:00:00Z,2025-04-27T13:00:00Z,WN,242,242,0,0,5.28,0.0000,12.8099
2025-04-27T13:00:00Z,2025-04-27T14:00:00Z,AA,148,148,0,0,11.06,0.0000,22.2973
2025-04-27T13:00:00Z,2025-04-27T14:00:00Z,DL,156,156,0,0,3.01,0.0000,9.6154
2025-04-27T13:00:00Z,2025-04-27T14:00:00Z,UA,127,127,0,0,2.14,0.0000,7.8740
2025-04-27T13:00:00Z,2025-04-27T14:00:00Z,WN,257,257,0,0,9.47,0.0000,20.2335
2025-04-27T14:00:00Z,2025-04-27T15:00:00Z,AA,151,150,0,1,21.46,0.0000,20.5298
2025-04-27T14:00:00Z,2025-04-27T15:00:00Z,DL,154,153,0,1,1.86,0.0000,7.7922
2025-04-27T14:00:00Z,2025-04-27T15:00:00Z,UA,126,125,0,1,18.17,0.0000,16.6667
2025-04-27T14:00:00Z,2025-04-27T15:00:00Z,WN,218,217,1,0,10.66,0.4587,28.1106
2025-04-27T15:00:00Z,2025-04-27T16:00:00Z,AA,144,144,0,0,19.96,0.0000,31.2500
2025-04-27T15:00:00Z,2025-04-27T16:00:00Z,DL,196,195,0,1,5.77,0.0000,14.2857
2025-04-27T15:00:00Z,2025-04-27T16:00:00Z,UA,100,99,0,1,18.79,0.0000,22.0000
2025-04-27T15:00:00Z,2025-04-27T16:00:00Z,WN,251,251,0,0,13.81,0.0000,30.2789
2025-04-27T16:00:00Z,2025-04-27T17:00:00Z,AA,150,150,0,0,11.45,0.0000,24.0000
2025-04-27T16:00:00Z,2025-04-27T17:00:00Z,DL,144,144,0,0,5.57,0.0000,13.8889
2025-04-27T16:00:00Z,2025-04-27T17:00:00Z,UA,140,139,0,1,8.37,0.0000,12.1429
2025-04-27T16:00:00Z,2025-04-27T17:00:00Z,WN,234,233,0,1,15.26,0.0000,33.3333
2025-04-27T17:00:00Z,2025-04-27T18:00:00Z,AA,162,162,0,0,20.64,0.0000,26.5432
2025-04-27T17:00:00Z,2025-04-27T18:00:00Z,DL,181,181,0,0,7.77,0.0000,20.4420
2025-04-27T17:00:00Z,2025-04-27T18:00:00Z,UA,133,133,0,0,12.30,0.0000,18.0451
2025-04-27T17:00:00Z,2025-04-27T18:00:00Z,WN,231,231,0,0,16.15,0.0000,37.2294
2025-04-27T18:00:00Z,2025-04-27T19:00:00Z,AA,172,172,0,0,14.60,0.0000,26.1628
2025-04-27T18:00:00Z,2025-04-27T19:00:00Z,DL,178,178,0,0,7.63,0.0000,20.7865
2025-04-27T18:00:00Z,2025-04-27T19:00:00Z,UA,142,141,1,0,19.89,0.7042,22.6950
2025-04-27T18:00:00Z,2025-04-27T19:00:00Z,WN,245,245,0,0,17.49,0.0000,38.3673
2025-04-27T19:00:00Z,2025-04-27T20:00:00Z,AA,161,160,1,0,16.21,0.6211,29.3750
2025-04-27T19:00:00Z,2025-04-27T20:00:00Z,DL,180,180,0,0,8.32,0.0000,22.7778
2025-04-27T19:00:00Z,2025-04-27T20:00:00Z,UA,138,136,0,2,23.00,0.0000,29.7101
2025-04-27T19:00:00Z,2025-04-27T20:00:00Z,WN,245,244,0,1,19.09,0.0000,42.0408
2025-04-27T20:00:00Z,2025-04-27T21:00:00Z,AA,136,136,0,0,13.54,0.0000,27.9412
2025-04-27T20:00:00Z,2025-04-27T21:00:00Z,DL,124,124,0,0,6.16,0.0000,19.3548
2025-04-27T20:00:00Z,2025-04-27T21:00:00Z,UA,87,86,0,1,31.64,0.0000,29.8851
2025-04-27T20:00:00Z,2025-04-27T21:00:00Z,WN,277,277,0,0,16.04,0.0000,39.7112
2025-04-27T21:00:00Z,2025-04-27T22:00:00Z,AA,88,88,0,0,13.93,0.0000,35.2273
2025-04-27T21:00:00Z,2025-04-27T22:00:00Z,DL,102,102,0,0,9.80,0.0000,22.5490
2025-04-27T21:00:00Z,2025-04-27T22:00:00Z,UA,63,62,1,0,13.16,1.5873,24.1935
2025-04-27T21:00:00Z,2025-04-27T22:00:00Z,WN,181,181,0,0,15.08,0.0000,33.7017
2025-04-27T22:00:00Z,2025-04-27T23:00:00Z,AA,115,114,0,1,10.21,0.0000,17.3913
2025-04-27T22:00:00Z,2025-04-27T23:00:00Z,DL,118,118,0,0,4.82,0.0000,16.1017
2025-04-27T22:00:00Z,2025-04-27T23:00:00Z,UA,38,38,0,0,14.13,0.0000,21.0526
2025-04-27T22:00:00Z,2025-04-27T23:00:00Z,WN,142,142,0,0,12.00,0.0000,30.9859
2025-04-27T23:00:00Z,2025-04-28T00:00:00Z,AA,33,33,0,0,5.64,0.0000,12.1212
2025-04-27T23:00:00Z,2025-04-28T00:00:00Z,DL,35,35,0,0,7.20,0.0000,25.7143
2025-04-27T23:00:00Z,2025-04-28T00:00:00Z,UA,35,35,0,0,0.23,0.0000,5.7143
2025-04-27T23:00:00Z,2025-04-28T00:00:00Z,WN,7,7,0,0,3.86,0.0000,14.2857
2025-04-28T00:00:00Z,2025-04-28T01:00:00Z,AA,9,9,0,0,-4.89,0.0000,0.0000
2025-04-28T00:00:00Z,2025-04-28T01:00:00Z,DL,8,8,0,0,-1.00,0.0000,12.5000
2025-04-28T00:00:00Z,2025-04-28T01:00:00Z,UA,8,8,0,0,14.00,0.0000,50.0000
2025-04-28T01:00:00Z,2025-04-28T02:00:00Z,AA,1,1,0,0,-5.00,0.0000,0.0000
2025-04-28T01:00:00Z,2025-04-28T02:00:00Z,DL,2,2,0,0,-11.00,0.0000,0.0000
2025-04-28T01:00:00Z,2025-04-28T02:00:00Z,UA,2,2,0,0,468.50,0.0000,100.0000
2025-04-28T05:00:00Z,2025-04-28T06:00:00Z,AA,111,111,0,0,6.33,0.0000,10.8108
2025-04-28T05:00:00Z,2025-04-28T06:00:00Z,DL,76,75,0,1,0.24,0.0000,3.9474
2025-04-28T05:00:00Z,2025-04-28T06:00:00Z,UA,44,44,0,0,5.16,0.0000,4.5455
2025-04-28T05:00:00Z,2025-04-28T06:00:00Z,WN,213,212,0,1,-2.75,0.0000,0.9390
2025-04-28T06:00:00Z,2025-04-28T07:00:00Z,AA,196,196,0,0,-1.84,0.0000,6.6327
2025-04-28T06:00:00Z,2025-04-28T07:00:00Z,DL,190,190,0,0,-0.39,0.0000,4.7368
2025-04-28T06:00:00Z,2025-04-28T07:00:00Z,UA,133,131,0,2,-3.26,0.0000,2.2556
2025-04-28T06:00:00Z,2025-04-28T07:00:00Z,WN,282,281,0,1,-0.83,0.0000,3.5461
2025-04-28T07:00:00Z,2025-04-28T08:00:00Z,AA,232,230,2,0,3.25,0.8621,8.2609
2025-04-28T07:00:00Z,2025-04-28T08:00:00Z,DL,243,242,0,1,1.67,0.0000,6.1728
2025-04-28T07:00:00Z,2025-04-28T08:00:00Z,UA,199,194,1,4,-1.41,0.5025,4.5455
2025-04-28T07:00:00Z,2025-04-28T08:00:00Z,WN,278,277,0,1,-0.58,0.0000,4.6763
2025-04-28T08:00:00Z,2025-04-28T09:00:00Z,AA,204,203,0,1,4.91,0.0000,12.2549
2025-04-28T08:00:00Z,2025-04-28T09:00:00Z,DL,198,198,0,0,0.67,0.0000,5.0505
2025-04-28T08:00:00Z,2025-04-28T09:00:00Z,UA,161,158,1,2,-1.28,0.6211,5.6250
2025-04-28T08:00:00Z,2025-04-28T09:00:00Z,WN,239,239,0,0,2.15,0.0000,6.6946
2025-04-28T09:00:00Z,2025-04-28T10:00:00Z,AA,134,134,0,0,6.43,0.0000,15.6716
2025-04-28T09:00:00Z,2025-04-28T10:00:00Z,DL,136,136,0,0,-0.15,0.0000,8.0882
2025-04-28T09:00:00Z,2025-04-28T10:00:00Z,UA,140,136,0,4,-0.89,0.0000,3.5714
2025-04-28T09:00:00Z,2025-04-28T10:00:00Z,WN,236,235,1,0,2.14,0.4237,6.8085
2025-04-28T10:00:00Z,2025-04-28T11:00:00Z,AA,159,159,0,0,4.98,0.0000,14.4654
2025-04-28T10:00:00Z,2025-04-28T11:00:00Z,DL,162,162,0,0,0.35,0.0000,8.0247
2025-04-28T10:00:00Z,2025-04-28T11:00:00Z,UA,131,126,2,3,1.21,1.5267,8.5271
2025-04-28T10:00:00Z,2025-04-28T11:00:00Z,WN,240,240,0,0,3.23,0.0000,10.8333
2025-04-28T11:00:00Z,2025-04-28T12:00:00Z,AA,167,166,0,1,8.33,0.0000,13.7725
2025-04-28T11:00:00Z,2025-04-28T12:00:00Z,DL,214,213,0,1,3.98,0.0000,10.2804
2025-04-28T11:00:00Z,2025-04-28T12:00:00Z,UA,123,116,2,5,0.05,1.6260,9.0909
2025-04-28T11:00:00Z,2025-04-28T12:00:00Z,WN,245,242,2,1,8.77,0.8163,14.8148
2025-04-28T12:00:00Z,2025-04-28T13:00:00Z,AA,149,148,0,1,10.40,0.0000,13.4228
2025-04-28T12:00:00Z,2025-04-28T13:00:00Z,DL,186,185,0,1,0.56,0.0000,8.6022
2025-04-28T12:00:00Z,2025-04-28T13:00:00Z,UA,122,118,0,4,8.68,0.0000,10.6557
2025-04-28T12:00:00Z,2025-04-28T13:00:00Z,WN,237,235,0,2,7.19,0.0000,16.4557
2025-04-28T13:00:00Z,2025-04-28T14:00:00Z,AA,147,147,0,0,5.28,0.0000,14.2857
2025-04-28T13:00:00Z,2025-04-28T14:00:00Z,DL,156,154,0,2,14.50,0.0000,17.3077
2025-04-28T13:00:00Z,2025-04-28T14:00:00Z,UA,123,123,0,0,11.69,0.0000,10.5691
2025-04-28T13:00:00Z,2025-04-28T14:00:00Z,WN,247,246,0,1,6.54,0.0000,16.1943
2025-04-28T14:00:00Z,2025-04-28T15:00:00Z,AA,152,152,0,0,18.84,0.0000,16.4474
2025-04-28T14:00:00Z,2025-04-28T15:00:00Z,DL,155,155,0,0,12.62,0.0000,18.0645
2025-04-28T14:00:00Z,2025-04-28T15:00:00Z,UA,129,128,1,0,20.05,0.7752,17.9688
2025-04-28T14:00:00Z,2025-04-28T15:00:00Z,WN,229,228,0,1,10.96,0.0000,23.5808
2025-04-28T15:00:00Z,2025-04-28T16:00:00Z,AA,144,144,0,0,13.27,0.0000,23.6111
2025-04-28T15:00:00Z,2025-04-28T16:00:00Z,DL,193,191,0,2,9.08,0.0000,16.0622
2025-04-28T15:00:00Z,2025-04-28T16:00:00Z,UA,101,96,5,0,25.86,4.9505,25.0000
2025-04-28T15:00:00Z,2025-04-28T16:00:00Z,WN,230,228,1,1,11.23,0.4348,26.2009
2025-04-28T16:00:00Z,2025-04-28T17:00:00Z,AA,149,148,1,0,12.16,0.6711,18.9189
2025-04-28T16:00:00Z,2025-04-28T17:00:00Z,DL,141,141,0,0,9.86,0.0000,14.1844
2025-04-28T16:00:00Z,2025-04-28T17:00:00Z,UA,138,136,2,0,32.85,1.4493,27.2059
2025-04-28T16:00:00Z,2025-04-28T17:00:00Z,WN,229,228,0,1,10.79,0.0000,24.0175
2025-04-28T17:00:00Z,2025-04-28T18:00:00Z,AA,163,163,0,0,14.94,0.0000,22.6994
2025-04-28T17:00:00Z,2025-04-28T18:00:00Z,DL,187,186,0,1,6.80,0.0000,11.7647
2025-04-28T17:00:00Z,2025-04-28T18:00:00Z,UA,133,129,4,0,20.19,3.0075,27.1318
2025-04-28T17:00:00Z,2025-04-28T18:00:00Z,WN,243,241,1,1,11.28,0.4115,27.2727
2025-04-28T18:00:00Z,2025-04-28T19:00:00Z,AA,170,170,0,0,17.03,0.0000,20.5882
2025-04-28T18:00:00Z,2025-04-28T19:00:00Z,DL,176,176,0,0,15.08,0.0000,17.0455
2025-04-28T18:00:00Z,2025-04-28T19:00:00Z,UA,135,132,3,0,18.12,2.2222,22.7273
2025-04-28T18:00:00Z,2025-04-28T19:00:00Z,WN,274,274,0,0,11.87,0.0000,22.2628
2025-04-28T19:00:00Z,2025-04-28T20:00:00Z,AA,161,160,0,1,15.86,0.0000,24.2236
2025-04-28T19:00:00Z,2025-04-28T20:00:00Z,DL,176,176,0,0,10.72,0.0000,17.0455
2025-04-28T19:00:00Z,2025-04-28T20:00:00Z,UA,138,131,7,0,21.81,5.0725,25.9542
2025-04-28T19:00:00Z,2025-04-28T20:00:00Z,WN,253,252,0,1,9.58,0.0000,23.3202
2025-04-28T20:00:00Z,2025-04-28T21:00:00Z,AA,136,134,0,2,10.17,0.0000,19.1176
2025-04-28T20:00:00Z,2025-04-28T21:00:00Z,DL,122,122,0,0,10.43,0.0000,24.5902
2025-04-28T20:00:00Z,2025-04-28T21:00:00Z,UA,81,70,11,0,22.53,13.5802,22.8571
2025-04-28T20:00:00Z,2025-04-28T21:00:00Z,WN,200,198,0,2,8.28,0.0000,23.5000
2025-04-28T21:00:00Z,2025-04-28T22:00:00Z,AA,87,87,0,0,18.68,0.0000,28.7356
2025-04-28T21:00:00Z,2025-04-28T22:00:00Z,DL,103,103,0,0,12.22,0.0000,27.1845
2025-04-28T21:00:00Z,2025-04-28T22:00:00Z,UA,54,50,4,0,13.62,7.4074,18.0000
2025-04-28T21:00:00Z,2025-04-28T22:00:00Z,WN,192,189,0,3,9.58,0.0000,26.5625
2025-04-28T22:00:00Z,2025-04-28T23:00:00Z,AA,116,116,0,0,23.51,0.0000,20.6897
2025-04-28T22:00:00Z,2025-04-28T23:00:00Z,DL,115,115,0,0,3.09,0.0000,12.1739
2025-04-28T22:00:00Z,2025-04-28T23:00:00Z,UA,34,30,4,0,18.17,11.7647,20.0000
2025-04-28T22:00:00Z,2025-04-28T23:00:00Z,WN,16,16,0,0,3.56,0.0000,12.5000
2025-04-28T23:00:00Z,2025-04-29T00:00:00Z,AA,33,33,0,0,13.48,0.0000,6.0606
2025-04-28T23:00:00Z,2025-04-29T00:00:00Z,DL,33,33,0,0,1.09,0.0000,9.0909
2025-04-28T23:00:00Z,2025-04-29T00:00:00Z,UA,33,33,0,0,4.85,0.0000,24.2424
2025-04-28T23:00:00Z,2025-04-29T00:00:00Z,WN,6,6,0,0,3.00,0.0000,16.6667
2025-04-29T00:00:00Z,2025-04-29T01:00:00Z,AA,9,9,0,0,11.67,0.0000,44.4444
2025-04-29T00:00:00Z,2025-04-29T01:00:00Z,DL,8,8,0,0,-2.00,0.0000,0.0000
2025-04-29T00:00:00Z,2025-04-29T01:00:00Z,UA,8,8,0,0,-6.38,0.0000,0.0000
2025-04-29T01:00:00Z,2025-04-29T02:00:00Z,AA,1,1,0,0,-6.00,0.0000,0.0000
2025-04-29T01:00:00Z,2025-04-29T02:00:00Z,DL,2,2,0,0,-4.00,0.0000,0.0000
2025-04-29T01:00:00Z,2025-04-29T02:00:00Z,UA,1,1,0,0,649.00,0.0000,100.0000
2025-04-29T05:00:00Z,2025-04-29T06:00:00Z,AA,104,104,0,0,-6.43,0.0000,1.9231
2025-04-29T05:00:00Z,2025-04-29T06:00:00Z,DL,76,76,0,0,-5.89,0.0000,5.2632
2025-04-29T05:00:00Z,2025-04-29T06:00:00Z,UA,38,37,1,0,3.19,2.6316,8.1081
2025-04-29T05:00:00Z,2025-04-29T06:00:00Z,WN,91,91,0,0,-1.65,0.0000,7.6923
